2024-11-28 09:24:51 DEBUG    --- 10.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 10.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 12.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 12.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 12.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 12.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 12.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 16.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 16.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 16.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 16.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 16.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
